"","DRUG_AVAGACESTAT_","DRUG_SB505124_","DRUG_DOCETAXEL_","DRUG_SB52334_","DRUG_PACLITAXEL_","DRUG_PELITINIB_","DRUG_ZM447439_","DRUG_METHOTREXATE_","DRUG_JW-7-52-1_","DRUG_LFM-A13_","DRUG_XAV939_","DRUG_DASATINIB_","DRUG_ERLOTINIB_","DRUG_RUXOLITINIB_","DRUG_CCT-018159_","DRUG_BRYOSTATIN 1_","DRUG_SERDEMETAN_","DRUG_CGP-082996_","DRUG_JQ12_","DRUG_AZD6482_","DRUG_FTI-277_","DRUG_BMS-536924_","DRUG_ELESCLOMOL_","DRUG_PAZOPANIB_","DRUG_VNLG/124_","DRUG_LINIFANIB_","DRUG_XMD14-99_","DRUG_CHIR-99021_","DRUG_BX795_","DRUG_GSK690693_","DRUG_NG-25_","DRUG_TIPIFARNIB_","DRUG_FEDRATINIB_","DRUG_CUDC-101_","DRUG_AS601245_","DRUG_AMUVATINIB_","DRUG_LUMINESPIB_","DRUG_UNC0638_","DRUG_XMD8-85_","DRUG_EPOTHILONE B_","DRUG_FR-180204_","DRUG_SEPANTRONIUM BROMIDE_","DRUG_QL-VIII-58_","DRUG_TUBASTATIN A_","DRUG_PIPERLONGUMINE_","DRUG_WHI-P97_","DRUG_PYRIMETHAMINE_","DRUG_SB590885_","DRUG_CETUXIMAB_","DRUG_NUTLIN-3A (-)_","DRUG_EMBELIN_","DRUG_FH535_","DRUG_PLX-4720_","DRUG_SARACATINIB_","DRUG_QL-XI-92_","DRUG_RO-3306_","DRUG_THZ-2-49_","DRUG_CISPLATIN_","DRUG_IDELALISIB_","DRUG_MK-2206_","DRUG_WEE1 INHIBITOR_","DRUG_TRAMETINIB_","DRUG_KU-55933_","DRUG_CI-1040_","DRUG_GEMCITABINE_","DRUG_AKT INHIBITOR VIII_","DRUG_OMIPALISIB_","DRUG_PICTILISIB_","DRUG_QS11_","DRUG_SELISISTAT_","DRUG_OSI-027_","DRUG_PAC-1_","DRUG_AFATINIB_","DRUG_KIN001-266_","DRUG_BI-2536_","DRUG_OSU-03012_","DRUG_PHA-793887_","DRUG_XMD8-92_","DRUG_VISMODEGIB_","DRUG_GSK1904529A_","DRUG_KIN001-236_","DRUG_CABOZANTINIB_","DRUG_CAY10603_","DRUG_GSK319347A_","DRUG_XMD11-85H_","DRUG_ZSTK474_","DRUG_QL-XII-61_","DRUG_TEMOZOLOMIDE_","DRUG_CGP-60474_","DRUG_TAK-715_","DRUG_THAPSIGARGIN_","DRUG_CCT007093_","DRUG_ICL1100013_","DRUG_HG-5-88-01_","DRUG_OSI-930_","DRUG_REFAMETINIB_","DRUG_SB216763_","DRUG_ENTINOSTAT_","DRUG_MIDOSTAURIN_","DRUG_PIK-93_","DRUG_LESTAURTINIB_","DRUG_GENENTECH CPD 10_","DRUG_PF-4708671_","DRUG_MOTESANIB_","DRUG_SELUMETINIB_","DRUG_YK-4-279_","DRUG_RUCAPARIB_","DRUG_BEXAROTENE_","DRUG_DAPORINAD_","DRUG_AT-7519_","DRUG_Z-LLNLE-CHO_","DRUG_SUNITINIB_","DRUG_TOZASERTIB_","DRUG_KIN001-244_","DRUG_YM201636_","DRUG_NAVITOCLAX_","DRUG_NPK76-II-72-1_","DRUG_NVP-TAE684_","DRUG_ETOPOSIDE_","DRUG_VORINOSTAT_","DRUG_GSK269962A_","DRUG_IMATINIB_","DRUG_BLEOMYCIN (50 UM)_","DRUG_TGX221_","DRUG_BMS-536924_","DRUG_VX-702_","DRUG_BLEOMYCIN_","DRUG_BMS-509744_","DRUG_EHT-1864_","DRUG_GW441756_","DRUG_PD0325901_","DRUG_ENZASTAURIN_","DRUG_SL0101_","DRUG_CX-5461_","DRUG_GNF-2_","DRUG_BX-912_","DRUG_MASITINIB_","DRUG_JQ1_","DRUG_RTRAIL_","DRUG_UNC1215_","DRUG_AZD7762_","DRUG_S-TRITYL-L-CYSTEINE_","DRUG_PI-103_","DRUG_AS605240_","DRUG_GEFITINIB_","DRUG_KIN001-270_","DRUG_PEVONEDISTAT_","DRUG_TIVOZANIB_","DRUG_HG6-64-1_","DRUG_CP466722_","DRUG_AR-42_","DRUG_MG-132_","DRUG_DACTOLISIB_","DRUG_STF-62247_","DRUG_AZD8055_","DRUG_CMK_","DRUG_KIN001-260_","DRUG_TL-1-85_","DRUG_MITOMYCIN-C_","DRUG_QL-XII-47_","DRUG_ZIBOTENTAN_","DRUG_SN-38_","DRUG_DABRAFENIB_","DRUG_ZG-10_","DRUG_OLAPARIB_","DRUG_SORAFENIB_","DRUG_VELIPARIB_","DRUG_BELINOSTAT_","DRUG_TALAZOPARIB_","DRUG_BMS-754807_","DRUG_XMD13-2_","DRUG_GSK429286A_","DRUG_PFI-1_","DRUG_TL-2-105_","DRUG_JQ1_","DRUG_I-BET-762_","DRUG_NU7441_","DRUG_NVP-BHG712_","DRUG_CRIZOTINIB_","DRUG_DOXORUBICIN_","DRUG_UNC0638_","DRUG_JNK INHIBITOR VIII_","DRUG_T0901317_","DRUG_JNK-9L_","DRUG_TANESPIMYCIN_","DRUG_AKT INHIBITOR VIII_","DRUG_CHIR-99021_","DRUG_AVAGACESTAT_","DRUG_IOX2_","DRUG_NILOTINIB_","DRUG_PHA-665752_","DRUG_PARTHENOLIDE_","DRUG_WH-4-023_","DRUG_(5Z)-7-OXOZEAENOL_","DRUG_SELICICLIB_","DRUG_NSC-87877_","DRUG_THZ-2-102-1_","DRUG_LINSITINIB_","DRUG_MPS-1-IN-1_","DRUG_PD173074_","DRUG_GW-2580_","DRUG_OLAPARIB_","DRUG_SHIKONIN_","DRUG_BICALUTAMIDE_","DRUG_FORETINIB_","DRUG_AZ628_","DRUG_QUIZARTINIB_","DRUG_DMOG_","DRUG_SNX-2112_","DRUG_SALUBRINAL_","DRUG_A-770041_","DRUG_CP724714_","DRUG_GW843682X_","DRUG_OBATOCLAX MESYLATE_","DRUG_ALECTINIB_","DRUG_GSK1070916_","DRUG_IPA-3_","DRUG_PALBOCICLIB_","DRUG_AICA RIBONUCLEOTIDE_","DRUG_QL-X-138_","DRUG_LAPATINIB_","DRUG_5-FLUOROURACIL_","DRUG_DORAMAPIMOD_","DRUG_ISPINESIB MESYLATE_","DRUG_FMK_","DRUG_RAPAMYCIN_","DRUG_VINBLASTINE_","DRUG_PF-562271_","DRUG_WZ-1-84_","DRUG_PFI-3_","DRUG_NSC-207895_","DRUG_Y-39983_","DRUG_GSK269962A_","DRUG_AXITINIB_","DRUG_VX-11E_","DRUG_BORTEZOMIB_","DRUG_TPCA-1_","DRUG_BIX02189_","DRUG_BMS-345541_","DRUG_TRETINOIN_","DRUG_WZ3105_","DRUG_DACINOSTAT_","DRUG_CYCLOPAMINE_","DRUG_XMD15-27_","DRUG_HG-5-113-01_","DRUG_PONATINIB_","DRUG_BOSUTINIB_","DRUG_TAMOXIFEN_","DRUG_LENALIDOMIDE_","DRUG_TW 37_","DRUG_A-443654_","DRUG_GSK650394_","DRUG_SGC0946_","DRUG_AZD6482_","DRUG_AFATINIB_","DRUG_JW-7-24-1_","DRUG_BICALUTAMIDE_","DRUG_PHENFORMIN_","DRUG_CYTARABINE_","DRUG_TEMSIROLIMUS_","DRUG_VINORELBINE _","DRUG_BAY-61-3606_"
"mirna_HSA-MIR-656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-887",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-29A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-30E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-1296",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-1254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mirna_HSA-MIR-1197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
