"Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"c-1","hsa04110","Cell cycle","10/49","124/8086",2.47453400863622e-09,4.42941587545884e-07,3.15177489521035e-07,"mrna_SMAD4/mrna_CDC6/mrna_TGFB1/mrna_CDC45/mrna_PLK1/mrna_CDC20/mrna_ATM/mrna_CDK1/mrna_CCND1/mrna_CUL1",10
"c-1","hsa05210","Colorectal cancer","7/49","86/8086",7.19468961328522e-07,6.43924720389027e-05,4.58188128003954e-05,"mrna_SMAD4/mrna_FOS/mrna_POLK/mrna_TGFB1/mrna_BIRC5/mrna_MSH2/mrna_CCND1",7
"c-1","hsa05212","Pancreatic cancer","6/49","76/8086",5.72809441190723e-06,0.000341776299910465,0.000243192780295009,"mrna_STAT3/mrna_SMAD4/mrna_POLK/mrna_TGFB1/mrna_NFKB1/mrna_CCND1",6
"c-1","hsa04068","FoxO signaling pathway","7/49","131/8086",1.2163101504195e-05,0.000544298792312725,0.00038729875842305,"mrna_STAT3/mrna_SMAD4/mrna_STK11/mrna_TGFB1/mrna_PLK1/mrna_ATM/mrna_CCND1",7
"c-1","hsa05203","Viral carcinogenesis","8/49","204/8086",2.65248098922276e-05,0.000949588194141748,0.00067568463093885,"mrna_PXN/mrna_STAT3/mrna_UBE3A/mrna_CDC20/mrna_NFKB1/mrna_CDK1/mrna_HDAC4/mrna_CCND1",8
"c-1","hsa05220","Chronic myeloid leukemia","5/49","76/8086",8.86880379960726e-05,0.00264585980021617,0.00188267589430259,"mrna_SMAD4/mrna_POLK/mrna_TGFB1/mrna_NFKB1/mrna_CCND1",5
"c-1","hsa05170","Human immunodeficiency virus 1 infection","7/49","212/8086",0.000259801987953882,0.00644673600017324,0.00458720997366046,"mrna_PXN/mrna_FOS/mrna_TAPBP/mrna_NFKB1/mrna_ATM/mrna_CDK1/mrna_CUL1",7
"c-1","hsa05166","Human T-cell leukemia virus 1 infection","7/49","219/8086",0.000316854961401367,0.00644673600017324,0.00458720997366046,"mrna_SMAD4/mrna_FOS/mrna_TGFB1/mrna_CDC20/mrna_NFKB1/mrna_ATM/mrna_CCND1",7
"c-1","hsa04933","AGE-RAGE signaling pathway in diabetic complications","5/49","100/8086",0.00032413756425452,0.00644673600017324,0.00458720997366046,"mrna_STAT3/mrna_SMAD4/mrna_TGFB1/mrna_NFKB1/mrna_CCND1",5
"c-1","hsa05161","Hepatitis B","6/49","162/8086",0.000404142119478023,0.00723414393865661,0.00514749436387798,"mrna_STAT3/mrna_SMAD4/mrna_FOS/mrna_TGFB1/mrna_NFKB1/mrna_BIRC5",6
"c-1","hsa04659","Th17 cell differentiation","5/49","108/8086",0.000462819876608889,0.00732016660319883,0.0052087042574952,"mrna_STAT3/mrna_SMAD4/mrna_FOS/mrna_TGFB1/mrna_NFKB1",5
"c-1","hsa05225","Hepatocellular carcinoma","6/49","168/8086",0.000490737425912771,0.00732016660319883,0.0052087042574952,"mrna_SMAD4/mrna_POLK/mrna_TGFB1/mrna_SMARCE1/mrna_NFE2L2/mrna_CCND1",6
"c-1","hsa05165","Human papillomavirus infection","8/49","331/8086",0.000751850094425737,0.0103523974540159,0.00736630456886754,"mrna_PXN/mrna_UBE3A/mrna_ITGB4/mrna_NFKB1/mrna_ATM/mrna_NOTCH1/mrna_SLC9A3R1/mrna_CCND1",8
"c-1","hsa04917","Prolactin signaling pathway","4/49","70/8086",0.000813596106103078,0.0104024073566036,0.00740188938635131,"mrna_STAT3/mrna_FOS/mrna_NFKB1/mrna_CCND1",4
"c-1","hsa04115","p53 signaling pathway","4/49","73/8086",0.0009530359247315,0.0113728953684626,0.00809244539596572,"mrna_CD82/mrna_ATM/mrna_CDK1/mrna_CCND1",4
"c-1","hsa04210","Apoptosis","5/49","136/8086",0.00131643928039513,0.0147276644494206,0.0104795495347244,"mrna_CTSB/mrna_FOS/mrna_NFKB1/mrna_BIRC5/mrna_ATM",5
"c-1","hsa05207","Chemical carcinogenesis - receptor activation","6/49","212/8086",0.00165131251444945,0.0173873494168501,0.0123720628017575,"mrna_STAT3/mrna_CDC6/mrna_FOS/mrna_NFKB1/mrna_BIRC5/mrna_CCND1",6
"c-1","hsa04218","Cellular senescence","5/49","156/8086",0.00241109081073734,0.022188549589743,0.0157883828306904,"mrna_TGFB1/mrna_NFKB1/mrna_ATM/mrna_CDK1/mrna_CCND1",5
"c-1","hsa05206","MicroRNAs in cancer","7/49","310/8086",0.00244524474671435,0.022188549589743,0.0157883828306904,"mrna_DNMT3A/mrna_STAT3/mrna_NFKB1/mrna_ATM/mrna_NOTCH1/mrna_HDAC4/mrna_CCND1",7
"c-1","hsa04390","Hippo signaling pathway","5/49","157/8086",0.0024791675519266,0.022188549589743,0.0157883828306904,"mrna_SMAD4/mrna_TGFB1/mrna_YAP1/mrna_BIRC5/mrna_CCND1",5
"c-1","hsa05213","Endometrial cancer","3/49","58/8086",0.00510741536930069,0.0435346357668964,0.0309773062498939,"mrna_ILK/mrna_POLK/mrna_CCND1",3
"c-2","hsa05222","Small cell lung cancer","8/58","92/8086",2.48306898457796e-07,4.39503210270298e-05,3.34560873711556e-05,"mrna_RXRA/mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_PTEN/mrna_FN1/mrna_APAF1/mrna_COL4A2",8
"c-2","hsa04115","p53 signaling pathway","6/58","73/8086",1.22762870140543e-05,0.0010864514007438,0.000827034072525762,"mrna_CYCS/mrna_CASP3/mrna_PTEN/mrna_CHEK1/mrna_APAF1/mrna_TSC2",6
"c-2","hsa05165","Human papillomavirus infection","10/58","331/8086",0.00010429123119902,0.0048664085725368,0.00370443233591858,"mrna_TRAF3/mrna_DVL3/mrna_TCIRG1/mrna_CASP3/mrna_PTEN/mrna_SLC9A3R1/mrna_FN1/mrna_TSC2/mrna_EP300/mrna_COL4A2",10
"c-2","hsa04932","Non-alcoholic fatty liver disease","7/58","155/8086",0.000109975334972583,0.0048664085725368,0.00370443233591858,"mrna_RXRA/mrna_CYCS/mrna_IRS1/mrna_CASP3/mrna_ATF4/mrna_IL6R/mrna_SDHD",7
"c-2","hsa01524","Platinum drug resistance","5/58","73/8086",0.000164911985231907,0.00583788427720949,0.00444394402309138,"mrna_MSH6/mrna_CYCS/mrna_REV3L/mrna_CASP3/mrna_APAF1",5
"c-2","hsa04550","Signaling pathways regulating pluripotency of stem cells","6/58","143/8086",0.000523214917530022,0.0149849261846476,0.0114069018830502,"mrna_SMAD1/mrna_REST/mrna_DVL3/mrna_ID1/mrna_IL6ST/mrna_ACVR1",6
"c-2","hsa05203","Viral carcinogenesis","7/58","204/8086",0.000592624199392844,0.0149849261846476,0.0114069018830502,"mrna_TRAF3/mrna_CASP3/mrna_CHEK1/mrna_IL6ST/mrna_ATF4/mrna_SRF/mrna_EP300",7
"c-2","hsa04151","PI3K-Akt signaling pathway","9/58","354/8086",0.000848777062028903,0.0178522488482054,0.0135895798547148,"mrna_RXRA/mrna_IRS1/mrna_PTEN/mrna_FN1/mrna_ATF4/mrna_IL6R/mrna_TSC2/mrna_PDGFC/mrna_COL4A2",9
"c-2","hsa04928","Parathyroid hormone synthesis, secretion and action","5/58","106/8086",0.000929435187979484,0.0178522488482054,0.0135895798547148,"mrna_RXRA/mrna_PDE4A/mrna_SLC9A3R1/mrna_ATF4/mrna_EGR1",5
"c-2","hsa05161","Hepatitis B","6/58","162/8086",0.00100860162984211,0.0178522488482054,0.0135895798547148,"mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_ATF4/mrna_APAF1/mrna_EP300",6
"c-2","hsa05164","Influenza A","6/58","172/8086",0.00137483526330869,0.0204055541853106,0.0155332199567039,"mrna_TRAF3/mrna_CYCS/mrna_CASP3/mrna_APAF1/mrna_TRIM25/mrna_EP300",6
"c-2","hsa05016","Huntington disease","8/58","306/8086",0.00141366175881481,0.0204055541853106,0.0155332199567039,"mrna_CYCS/mrna_REST/mrna_DCTN1/mrna_CASP3/mrna_APAF1/mrna_SDHD/mrna_GPX1/mrna_EP300",8
